eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,35,16,34,45,1801
Pass,High pass,64,61,75,97,1801
Pass,Simple pass,61,65,66,21,1801
Duel,Ground defending duel,65,22,63,31,"501, 703, 1801"
Pass,Simple pass,60,17,65,47,1801
Pass,Simple pass,67,61,71,52,1801
Pass,Simple pass,72,32,71,62,1801
Pass,Simple pass,63,78,67,82,1801
Pass,Simple pass,67,97,89,94,1801
Pass,Simple pass,3,17,18,36,1802
Duel,Ground attacking duel,52,71,45,71,"702, 1801"
Pass,Simple pass,45,71,44,85,1801
Pass,High pass,44,66,64,12,1801
Pass,High pass,50,39,83,92,1801
Pass,High pass,72,6,79,72,1801
Duel,Air duel,33,2,25,15,"701, 1802"
Pass,High pass,37,6,88,0,1802
Pass,Simple pass,54,53,61,13,1801
Pass,Simple pass,68,16,36,25,1801
Pass,Simple pass,53,70,58,8,1801
Duel,Ground defending duel,60,3,64,4,"1601, 701, 1802"
Foul,Foul,64,4,60,3,
Pass,High pass,27,23,75,89,1801
Pass,Simple pass,54,21,46,48,1801
Pass,Simple pass,43,32,29,60,1801
Pass,Simple pass,52,55,43,93,1801
Pass,Simple pass,44,47,50,20,1801
Pass,Simple pass,64,34,67,54,1801
Pass,High pass,67,52,92,68,"901, 1802"
Pass,Simple pass,36,11,44,29,1801
Pass,Simple pass,44,37,38,84,1801
Duel,Ground defending duel,41,42,45,48,"701, 1802"
Foul,Foul,45,48,41,42,
Pass,Simple pass,34,31,42,37,1801
Others on the ball,Touch,28,19,31,10,1401
Duel,Ground defending duel,33,33,32,38,"503, 601, 701, 1802"
Foul,Foul,34,42,32,38,
Pass,High pass,27,67,32,81,1802
Others on the ball,Clearance,9,43,27,0,"1401, 1802"
Free Kick,Free Kick,62,6,75,1,1801
Free Kick,Free Kick,44,79,0,0,1802
Duel,Ground attacking duel,69,64,69,49,"701, 1802"
Pass,Head pass,43,19,39,2,1801
Pass,Head pass,46,64,54,45,1801
Pass,Simple pass,39,14,31,10,1801
Pass,Simple pass,40,40,35,36,1801
Duel,Ground attacking duel,74,55,76,70,"1401, 501, 702, 1801"
Duel,Ground loose ball duel,76,70,69,88,"701, 1802"
Pass,Simple pass,52,47,67,59,1801
Duel,Ground defending duel,34,62,18,69,"1601, 701, 1802"
Pass,Simple pass,12,67,14,92,"1401, 1801"
Pass,Simple pass,28,75,21,71,1801
Pass,Simple pass,41,36,48,56,1801
Pass,High pass,77,73,92,27,1801
Pass,Cross,95,33,100,100,"402, 2101, 1802"
Pass,Simple pass,21,12,44,9,1801
Pass,Head pass,41,30,36,30,1801
Others on the ball,Touch,35,33,33,75,
Pass,Simple pass,33,75,30,73,1802
Duel,Ground attacking duel,95,42,88,24,"701, 1802"
Pass,Simple pass,43,15,60,31,1801
Duel,Ground loose ball duel,30,30,28,33,"702, 1801"
Duel,Air duel,30,30,31,31,"702, 1801"
Pass,Simple pass,19,18,46,19,1801
Pass,Simple pass,55,27,55,17,1802
Duel,Ground defending duel,29,11,31,7,"1601, 703, 1801"
Pass,High pass,31,7,79,0,1802
Pass,Head pass,72,10,65,26,1802
Pass,Simple pass,65,34,78,92,1801
Pass,Launch,11,48,44,50,1801
Pass,Head pass,60,33,66,32,1802
Pass,High pass,17,66,61,34,1801
Pass,Simple pass,25,14,27,8,1801
Duel,Ground attacking duel,27,8,19,22,"501, 703, 1801"
Pass,High pass,30,6,45,13,1802
Pass,Simple pass,55,52,47,52,1801
Pass,Simple pass,50,47,73,87,1802
Others on the ball,Touch,63,84,65,100,1401
Pass,Simple pass,33,72,40,11,1801
Pass,High pass,45,34,70,93,1801
Pass,High pass,60,29,79,72,1801
Pass,Simple pass,87,15,88,6,1801
Pass,Cross,82,8,22,5,"402, 801, 1801"
Others on the ball,Touch,24,12,30,27,
Duel,Ground defending duel,23,19,36,32,"702, 1801"
Pass,Simple pass,61,71,58,31,1801
Pass,High pass,29,57,56,3,1802
Pass,Simple pass,56,32,71,6,1801
Pass,Simple pass,48,14,54,58,1801
Pass,Simple pass,43,33,30,4,1801
Pass,High pass,36,33,72,83,1801
Pass,Simple pass,71,72,79,14,1801
Pass,Simple pass,69,66,71,87,1801
Shot,Shot,88,62,100,100,"402, 201, 1214, 1802"
Others on the ball,Clearance,9,58,30,66,1801
Duel,Ground attacking duel,38,26,40,25,"703, 1801"
Pass,Simple pass,40,25,54,31,1801
Pass,Simple pass,63,13,47,35,1801
Pass,Simple pass,71,65,81,18,1801
Pass,Simple pass,46,56,26,69,"1401, 1801"
Duel,Ground defending duel,21,44,21,34,"501, 701, 1802"
Pass,Simple pass,45,16,44,5,1801
Pass,Simple pass,60,39,75,27,"1401, 1801"
Pass,Simple pass,64,34,68,91,1801
Pass,Simple pass,57,70,55,92,1801
Pass,Simple pass,43,68,52,47,1801
Others on the ball,Acceleration,47,49,66,28,1801
Pass,Simple pass,66,28,74,21,1801
Pass,Simple pass,54,48,73,16,1801
Pass,Simple pass,60,17,57,3,1801
Duel,Ground loose ball duel,36,61,43,68,"703, 1801"
Pass,Simple pass,34,60,32,38,1801
Pass,Simple pass,50,72,51,18,1801
Others on the ball,Touch,9,56,17,87,1401
Others on the ball,Acceleration,48,51,60,56,1801
Pass,Simple pass,60,56,63,93,1801
Pass,Simple pass,43,27,34,30,1801
Pass,Simple pass,55,39,53,72,1801
Duel,Ground loose ball duel,96,39,95,38,"702, 1801"
Duel,Ground loose ball duel,95,38,97,28,"701, 1802"
Pass,High pass,67,29,100,100,1802
Pass,Simple pass,56,45,70,66,1801
Others on the ball,Touch,12,46,0,68,1401
Pass,Simple pass,30,69,38,68,"1901, 1802"
Pass,Simple pass,28,63,55,6,"1901, 1401, 1801"
Free Kick,Free kick cross,79,6,93,50,"801, 1801"
Pass,High pass,42,72,82,27,1801
Pass,Simple pass,66,28,85,7,"1401, 1801"
Duel,Ground loose ball duel,31,44,36,44,"702, 1801"
Others on the ball,Touch,31,47,32,39,
Pass,High pass,34,48,86,87,1801
Pass,Cross,68,90,88,38,"402, 801, 1801"
Duel,Ground attacking duel,27,77,19,92,"501, 703, 1801"
Pass,Simple pass,19,92,49,84,1801
Pass,Simple pass,20,69,23,26,1801
Duel,Ground defending duel,58,25,60,22,"1601, 701, 1802"
Foul,Foul,60,22,58,25,
Pass,Simple pass,64,23,53,21,1801
Duel,Ground loose ball duel,33,24,44,18,"701, 1802"
Pass,Simple pass,66,20,67,68,1801
Pass,Simple pass,73,68,62,72,1801
Pass,Simple pass,39,25,37,3,1801
Duel,Air duel,34,71,38,77,"702, 1801"
Pass,Simple pass,39,72,37,14,1801
Pass,High pass,43,58,94,82,1802
Duel,Air duel,34,79,58,73,"1901, 702, 1801"
Pass,High pass,67,36,90,65,"1901, 901, 1802"
Pass,Simple pass,68,67,55,25,1801
Duel,Ground attacking duel,73,56,77,56,"502, 703, 1801"
Pass,Simple pass,77,56,77,44,1801
Pass,Simple pass,58,26,53,49,1801
Pass,High pass,62,33,97,89,1801
Pass,Simple pass,45,45,54,20,1801
Pass,Simple pass,38,74,53,84,1801
Pass,Simple pass,44,76,38,38,1801
Duel,Ground loose ball duel,26,66,33,56,"701, 1802"
Duel,Ground loose ball duel,34,67,27,69,"1601, 701, 1802"
Others on the ball,Touch,18,59,12,57,1401
Pass,Simple pass,65,6,41,19,1801
Pass,Simple pass,70,48,69,69,1801
Pass,Simple pass,70,58,71,74,1801
Duel,Air duel,26,28,36,36,"701, 1802"
Pass,Simple pass,28,38,24,53,1801
Pass,Simple pass,68,49,94,86,1801
Free Kick,Free Kick,39,75,74,73,1802
Duel,Ground attacking duel,53,78,57,81,"502, 602, 703, 1801"
Pass,Simple pass,58,32,60,67,1801
Pass,Simple pass,62,60,55,72,1801
Pass,Simple pass,54,72,70,59,1801
Pass,Simple pass,25,60,26,54,1801
Pass,High pass,30,61,57,6,1801
Pass,Simple pass,45,8,67,29,1801
Duel,Air duel,69,75,58,79,"703, 1801"
Pass,Head pass,36,30,63,5,"1401, 1801"
Pass,Simple pass,61,11,56,4,1801
Shot,Shot,69,50,0,0,"402, 1212, 1802"
Others on the ball,Touch,10,32,10,17,1401
Duel,Ground defending duel,10,17,3,18,"502, 701, 1802"
Pass,Simple pass,60,32,54,52,1801
Pass,High pass,35,13,69,27,1802
Pass,Simple pass,38,28,53,48,"1401, 1801"
Pass,Simple pass,60,74,55,57,1801
Pass,Simple pass,68,71,74,42,1801
Pass,Smart pass,58,15,85,9,1802
Pass,Simple pass,44,67,0,0,1802
Pass,High pass,26,85,69,82,1802
Pass,Simple pass,53,76,75,95,1801
Duel,Ground loose ball duel,38,75,47,71,"701, 1802"
Foul,Foul,47,71,38,75,
Duel,Air duel,13,49,14,56,"701, 1802"
Others on the ball,Clearance,12,44,22,12,"1401, 1802"
Duel,Ground defending duel,21,32,21,34,"702, 1801"
Pass,Simple pass,59,67,51,51,"1401, 1801"
Duel,Ground loose ball duel,26,78,25,98,"703, 1801"
Pass,Simple pass,23,94,23,92,1801
Duel,Ground loose ball duel,73,81,75,79,"701, 1802"
Shot,Shot,73,51,0,0,"402, 2101, 1802"
Pass,Simple pass,29,33,47,22,1801
Pass,Simple pass,45,39,54,77,1801
Pass,Simple pass,53,51,54,0,1802
Pass,Simple pass,46,53,32,50,1801
Pass,Head pass,62,94,69,51,1802
Pass,High pass,35,51,92,81,1802
Pass,Launch,17,90,39,75,1801
Duel,Ground defending duel,15,88,15,88,"502, 701, 1802"
Others on the ball,Acceleration,27,71,59,62,1801
Pass,Simple pass,59,62,78,20,1801
Pass,Simple pass,72,61,72,96,1801
Pass,Simple pass,68,75,60,46,1801
Pass,Simple pass,34,64,48,43,1801
Pass,Simple pass,48,74,56,96,"1401, 1801"
Pass,Simple pass,45,35,41,28,1801
Pass,Simple pass,54,47,54,55,1801
Pass,Simple pass,53,46,43,59,1801
Pass,High pass,58,33,94,28,1801
Free Kick,Penalty,90,51,92,36,"402, 1205, 1802"
Pass,Head pass,43,73,56,76,1801
Duel,Ground defending duel,44,17,39,21,"701, 1802"
Pass,High pass,38,39,72,95,1801
Free Kick,Free Kick,53,45,48,56,1801
Pass,Simple pass,49,48,61,20,1801
Pass,Simple pass,48,34,30,52,1801
Pass,Simple pass,55,40,42,37,1801
Pass,Simple pass,59,43,70,81,1801
Pass,Simple pass,73,64,57,64,1801
Duel,Ground attacking duel,34,42,30,48,"2001, 701, 1802"
Duel,Ground defending duel,27,53,22,35,"1601, 701, 1802"
Pass,Simple pass,36,85,31,77,1801
Pass,Simple pass,29,41,36,72,1801
Pass,Simple pass,32,83,29,89,"1401, 1801"
Pass,Simple pass,65,35,59,62,1801
Free Kick,Free kick cross,65,95,92,44,"302, 801, 1801"
Pass,Simple pass,68,92,58,57,1801
Pass,Simple pass,95,93,87,92,1801
Pass,Simple pass,67,77,57,48,1801
Pass,Simple pass,30,91,19,100,"1401, 1802"
Pass,High pass,29,14,58,20,1801
Pass,Simple pass,26,71,30,74,1802
Pass,Simple pass,69,49,76,8,"1901, 1801"
Pass,Simple pass,31,32,29,49,1801
Free Kick,Corner,100,100,93,55,"801, 1801"
Pass,Simple pass,30,79,31,56,1801
Duel,Ground defending duel,26,53,23,55,"701, 1802"
Pass,Simple pass,65,23,81,8,1801
Pass,Simple pass,50,35,38,19,1801
Pass,Simple pass,30,51,33,64,1801
Duel,Ground loose ball duel,26,78,26,71,"701, 1802"
Pass,Simple pass,20,51,25,61,"1401, 1801"
Duel,Ground loose ball duel,27,39,28,47,"703, 1801"
Pass,High pass,42,32,73,55,"901, 1802"
Free Kick,Free kick cross,66,47,89,74,"801, 1801"
Others on the ball,Touch,40,29,59,42,
Pass,Simple pass,59,42,71,83,1801
Pass,Simple pass,71,73,71,85,1801
Pass,Simple pass,30,50,25,9,1801
Others on the ball,Touch,29,50,59,20,
Pass,Simple pass,59,20,69,6,1801
Pass,Simple pass,59,12,67,64,1801
Pass,Simple pass,55,51,61,14,1801
Pass,Simple pass,54,48,62,74,1801
Pass,High pass,58,66,69,18,1802
Pass,High pass,69,42,89,62,"901, 1802"
Pass,Smart pass,60,65,70,43,"1901, 901, 1802"
Others on the ball,Touch,44,54,62,73,
Pass,Simple pass,62,73,75,88,1801
Pass,Simple pass,29,76,27,98,1801
Others on the ball,Touch,29,86,40,70,
Pass,High pass,40,70,63,31,1802
Pass,Simple pass,34,71,29,88,1801
Pass,Simple pass,53,36,57,60,1801
Pass,Simple pass,57,92,51,69,1801
Duel,Ground attacking duel,65,80,57,100,"702, 1801"
Pass,Simple pass,44,78,38,64,1801
Others on the ball,Touch,41,42,58,37,
Pass,Simple pass,58,37,67,9,1801
Pass,Simple pass,55,16,45,48,1801
Pass,Simple pass,63,71,53,39,1801
Shot,Shot,72,58,100,100,"402, 201, 1205, 1801"
Others on the ball,Touch,48,9,58,26,
Pass,Simple pass,58,26,63,49,1801
Others on the ball,Touch,41,83,60,85,
Pass,High pass,60,85,89,62,"901, 1802"
Others on the ball,Touch,20,34,33,21,1401
Pass,Smart pass,56,48,93,73,"901, 1801"
Pass,Simple pass,63,53,65,84,1801
Pass,Simple pass,55,67,52,75,1802
Pass,High pass,64,37,91,85,1801
Free Kick,Corner,100,98,94,53,"801, 1802"
Pass,Cross,93,81,90,49,"302, 402, 801, 1801"
Others on the ball,Touch,84,87,76,91,
Free Kick,Corner,100,0,93,39,1801
Free Kick,Corner,100,0,89,34,1801
Free Kick,Free kick shot,72,55,100,100,"402, 1101, 201, 1203, 1801"
Pass,Simple pass,65,23,68,41,1801
Pass,Simple pass,64,50,67,24,"1901, 1801"
Pass,Simple pass,54,64,67,89,1801
Duel,Ground defending duel,25,70,43,71,"504, 1601, 703, 1801"
Pass,Smart pass,43,71,80,41,"901, 1801"
Duel,Ground defending duel,45,74,33,77,"501, 701, 1802"
Free Kick,Corner,100,0,87,62,"801, 1802"
Pass,Simple pass,89,12,72,24,1801
Pass,High pass,43,59,87,9,1801
Pass,Simple pass,56,68,46,42,1801
Free Kick,Corner,100,100,92,66,"801, 1802"
Duel,Ground defending duel,60,20,60,18,"702, 1801"
Pass,Simple pass,44,46,36,81,1801
Pass,High pass,53,66,57,5,1801
Pass,Simple pass,53,49,36,62,1801
Pass,Simple pass,30,56,32,70,1801
Free Kick,Corner,100,100,94,93,1801
Pass,High pass,29,84,64,88,1801
Duel,Ground defending duel,58,27,47,46,"1601, 701, 1802"
Free Kick,Free Kick,43,31,64,3,1801
Duel,Ground attacking duel,58,20,54,16,"702, 1801"
Pass,Simple pass,54,16,44,42,1801
Pass,Simple pass,68,65,72,84,1801
Pass,Simple pass,32,26,30,64,1801
Pass,Simple pass,35,71,29,44,1801
Others on the ball,Touch,55,85,64,84,1401
Others on the ball,Touch,64,84,64,80,
Pass,Simple pass,28,25,25,7,1801
Duel,Ground defending duel,21,31,13,7,"502, 701, 1802"
Pass,Launch,24,56,24,68,1802
Duel,Ground defending duel,67,63,70,66,"702, 1801"
Duel,Ground attacking duel,59,34,54,39,"702, 1801"
Duel,Ground attacking duel,54,39,44,55,"702, 1801"
Duel,Ground loose ball duel,51,51,46,54,"1601, 701, 1802"
Free Kick,Free kick cross,76,92,90,36,"302, 801, 1801"
Duel,Ground defending duel,13,68,6,76,"501, 701, 1802"
Pass,High pass,27,41,52,92,1802
Duel,Ground defending duel,39,44,41,49,"702, 1801"
Pass,Simple pass,13,31,39,48,1802
Pass,Simple pass,68,47,79,90,1801
Pass,Simple pass,30,17,30,33,1801
Pass,Simple pass,26,93,22,97,1801
Pass,High pass,61,94,98,91,1801
Free Kick,Corner,100,100,88,49,"801, 1801"
Others on the ball,Clearance,12,44,29,2,"1401, 1802"
Pass,Simple pass,52,86,65,95,1802
Pass,Simple pass,45,35,37,18,1801
Shot,Shot,73,58,0,0,"402, 1212, 1802"
Pass,High pass,69,73,88,33,1802
Duel,Ground defending duel,49,35,49,50,"501, 701, 1802"
Duel,Ground defending duel,88,78,85,100,"501, 1601, 702, 1801"
Pass,Simple pass,66,91,79,77,1801
Duel,Air duel,30,27,22,8,"701, 1802"
Duel,Ground defending duel,64,70,40,94,"501, 1601, 701, 1802"
Others on the ball,Touch,33,96,28,100,1401
Pass,Head pass,12,67,14,88,1801
Free Kick,Corner,100,0,91,50,"801, 1802"
Pass,Simple pass,49,42,47,47,1802
Pass,Simple pass,64,22,63,42,1801
Pass,Simple pass,63,42,57,83,1801
Duel,Ground attacking duel,66,36,69,30,"703, 1801"
Pass,Simple pass,69,30,83,4,1801
Pass,Simple pass,56,31,64,70,1801
Pass,Simple pass,68,64,61,69,1802
Duel,Ground defending duel,61,69,61,72,"503, 701, 1802"
Pass,Simple pass,48,40,59,31,1801
Pass,Simple pass,44,33,25,75,1801
Pass,Simple pass,58,58,51,71,1801
Pass,Simple pass,56,77,45,43,1801
Duel,Ground defending duel,53,63,54,78,"501, 701, 1802"
Duel,Ground attacking duel,62,40,57,37,"701, 1802"
Duel,Ground defending duel,57,37,51,36,"701, 1802"
Foul,Foul,51,36,57,37,
Others on the ball,Touch,30,72,32,58,1401
Pass,Simple pass,68,68,56,70,1801
Pass,High pass,68,32,88,48,"901, 1802"
Duel,Ground attacking duel,56,53,54,70,"501, 702, 1801"
Duel,Ground loose ball duel,54,70,61,72,"701, 1802"
Duel,Ground defending duel,48,58,31,58,"501, 701, 1802"
Others on the ball,Clearance,13,58,37,69,"1401, 1801"
Others on the ball,Clearance,13,47,66,69,1802
Pass,Simple pass,80,30,75,31,1801
Pass,Simple pass,79,26,68,33,1801
Pass,Simple pass,71,66,59,73,1801
Pass,Smart pass,68,84,100,77,"901, 1802"
Duel,Ground attacking duel,34,22,38,25,"703, 1801"
Duel,Ground loose ball duel,23,57,26,51,"1601, 702, 1801"
Duel,Ground loose ball duel,26,51,27,49,"701, 1802"
Pass,Simple pass,36,63,29,46,1801
Pass,Simple pass,75,28,84,14,1801
Pass,Simple pass,59,30,46,44,1801
Pass,Simple pass,39,21,63,22,1801
Pass,Simple pass,43,64,29,59,1801
Pass,High pass,40,53,80,18,1802
Free Kick,Corner,100,0,93,53,"801, 1801"
Pass,Cross,82,23,90,40,"402, 1802"
Duel,Ground defending duel,63,34,32,43,"504, 701, 1802"
Duel,Ground defending duel,39,65,43,75,"701, 1802"
Foul,Foul,43,75,39,65,
Pass,Simple pass,48,54,61,88,1801
Pass,Simple pass,47,65,56,29,1801
Pass,Simple pass,53,65,36,87,1801
Pass,High pass,79,63,92,31,1801
Pass,Simple pass,65,60,67,70,1801
Pass,Simple pass,77,77,73,68,1801
Pass,Simple pass,64,78,77,67,1801
Pass,Simple pass,68,81,72,39,1801
Pass,Simple pass,25,75,24,63,1801
Free Kick,Free kick cross,64,36,90,58,"801, 1801"
Duel,Air duel,46,52,41,64,"703, 1801"
Duel,Ground loose ball duel,41,64,53,86,"701, 1802"
Duel,Ground defending duel,65,64,35,36,"701, 1802"
Foul,Foul,63,66,65,64,
Duel,Ground defending duel,27,71,73,29,"702, 1801"
Pass,Simple pass,38,66,34,42,1801
Pass,Simple pass,33,63,32,51,1801
Pass,Simple pass,33,63,44,90,1801
Pass,Simple pass,33,69,25,34,1801
Pass,Simple pass,48,28,42,33,1801
Pass,Simple pass,70,42,73,30,1801
Pass,Simple pass,68,43,69,96,1801
Pass,High pass,66,80,92,92,1801
Others on the ball,Touch,31,94,33,100,1401
Pass,Head pass,32,32,45,35,1802
Pass,Simple pass,31,46,35,60,1802
Free Kick,Corner,100,100,90,52,"801, 1802"
Free Kick,Free kick cross,63,62,90,39,"801, 1801"
Pass,Simple pass,66,44,73,97,1801
Others on the ball,Touch,77,93,93,92,1401
Others on the ball,Touch,95,95,100,87,1401
Duel,Ground attacking duel,36,26,32,23,"702, 1801"
Pass,Simple pass,32,23,27,7,1801
Pass,Simple pass,66,88,72,98,1801
Pass,Simple pass,27,81,10,75,1801
Shot,Shot,75,52,100,100,"402, 201, 1212, 1802"
Pass,Simple pass,60,36,66,78,1802
Duel,Ground defending duel,49,28,48,28,"701, 1802"
Duel,Air duel,31,65,22,56,"701, 1802"
Duel,Ground attacking duel,71,41,66,41,"701, 1802"
Duel,Ground defending duel,5,34,7,44,"501, 1601, 703, 1801"
Free Kick,Corner,100,0,80,60,"801, 1802"
Pass,Simple pass,45,24,34,11,1801
Pass,Simple pass,47,30,38,39,1801
Pass,Simple pass,48,23,60,9,1801
Pass,High pass,45,19,82,40,1801
Duel,Ground attacking duel,58,21,56,31,"702, 1801"
Pass,Simple pass,56,31,42,91,1801
Pass,Simple pass,71,61,73,53,1801
Free Kick,Free kick shot,75,51,100,100,"402, 1101, 201, 1215, 1802"
Others on the ball,Touch,61,23,65,18,
Duel,Ground loose ball duel,65,18,68,19,"701, 1802"
Duel,Ground defending duel,68,19,61,20,"701, 1802"
Duel,Ground attacking duel,74,19,66,27,"1401, 503, 703, 1801"
Pass,Simple pass,74,10,66,7,1801
Pass,Simple pass,63,60,56,91,1801
Duel,Ground attacking duel,66,10,34,90,"702, 1801"
Pass,Simple pass,66,63,45,45,1801
Pass,Simple pass,70,26,82,13,1802
Free Kick,Corner,100,100,10,45,"801, 1801"
Duel,Ground defending duel,76,55,24,45,"701, 1802"
Pass,Simple pass,43,23,44,43,1801
